NC_009144.2	chr1
NW_001870285.1	chrUn
NW_001870286.1	chrUn
NW_001870287.1	chrUn
NW_001870288.1	chrUn
NW_001870290.1	chrUn
NW_001870291.1	chrUn
NW_001870292.1	chrUn
NW_001870293.1	chrUn
NW_001870294.1	chrUn
NW_001870297.1	chrUn
NW_001870298.1	chrUn
NW_001870299.1	chrUn
NW_001870300.1	chrUn
NW_001870301.1	chrUn
NW_001870302.1	chrUn
NW_001870303.1	chrUn
NW_001870304.1	chrUn
NW_001870305.1	chrUn
NW_001870307.1	chrUn
NW_001870308.1	chrUn
NW_001870309.1	chrUn
NW_001870310.1	chrUn
NW_001870311.1	chrUn
NW_001870312.1	chrUn
NW_001870313.1	chrUn
NW_001870314.1	chrUn
NW_001870315.1	chrUn
NW_001870316.1	chrUn
NW_001870320.1	chrUn
NW_001870321.1	chrUn
NW_001870322.1	chrUn
NW_001870324.1	chrUn
NW_001870325.1	chrUn
NW_001870326.1	chrUn
NW_001870327.1	chrUn
NW_001870329.1	chrUn
NW_001870330.1	chrUn
NW_001870332.1	chrUn
NW_001870333.1	chrUn
NW_001870334.1	chrUn
NW_001870335.1	chrUn
NW_001870336.1	chrUn
NW_001870337.1	chrUn
NW_001870338.1	chrUn
NW_001870340.1	chrUn
NW_001870341.1	chrUn
NW_001870342.1	chrUn
NW_001870343.1	chrUn
NW_001870344.1	chrUn
NW_001870345.1	chrUn
NW_001870347.1	chrUn
NW_001870348.1	chrUn
NW_001870349.1	chrUn
NW_001870352.1	chrUn
NW_001870353.1	chrUn
NW_001870354.1	chrUn
NW_001870355.1	chrUn
NW_001870356.1	chrUn
NW_001870357.1	chrUn
NW_001870358.1	chrUn
NW_001870359.1	chrUn
NW_001870360.1	chrUn
NW_001870362.1	chrUn
NW_001870363.1	chrUn
NW_001870364.1	chrUn
NW_001870365.1	chrUn
NW_001870366.1	chrUn
NW_001870368.1	chrUn
NW_001870369.1	chrUn
NW_001870370.1	chrUn
NW_001870374.1	chrUn
NW_001870375.1	chrUn
NW_001870376.1	chrUn
NW_001870378.1	chrUn
NW_001870380.1	chrUn
NW_001870384.1	chrUn
NW_001870386.1	chrUn
NW_001870387.1	chrUn
NW_001870388.1	chrUn
NW_001870389.1	chrUn
NW_001870390.1	chrUn
NW_001870391.1	chrUn
NW_001870392.1	chrUn
NW_001870393.1	chrUn
NW_001870395.1	chrUn
NW_001870396.1	chrUn
NW_001870397.1	chrUn
NW_001870398.1	chrUn
NW_001870399.1	chrUn
NW_001870400.1	chrUn
NW_001870401.1	chrUn
NW_001870402.1	chrUn
NW_001870403.1	chrUn
NW_001870404.1	chrUn
NW_001870406.1	chrUn
NW_001870407.1	chrUn
NW_001870408.1	chrUn
NW_001870409.1	chrUn
NW_001870410.1	chrUn
NW_001870411.1	chrUn
NW_001870412.1	chrUn
NW_001870413.1	chrUn
NW_001870414.1	chrUn
NW_001870415.1	chrUn
NW_001870417.1	chrUn
NW_001870418.1	chrUn
NW_001870420.1	chrUn
NW_001870421.1	chrUn
NW_001870423.1	chrUn
NW_001870426.1	chrUn
NW_001870429.1	chrUn
NW_001870430.1	chrUn
NW_001870431.1	chrUn
NW_001870432.1	chrUn
NW_001870433.1	chrUn
NW_001870434.1	chrUn
NW_001870435.1	chrUn
NW_001870436.1	chrUn
NW_001870437.1	chrUn
NW_001870439.1	chrUn
NW_001870440.1	chrUn
NW_001870442.1	chrUn
NW_001870443.1	chrUn
NW_001870444.1	chrUn
NW_001870445.1	chrUn
NW_001870446.1	chrUn
NW_001870447.1	chrUn
NW_001870448.1	chrUn
NW_001870450.1	chrUn
NW_001870451.1	chrUn
NW_001870453.1	chrUn
NW_001870454.1	chrUn
NW_001870456.1	chrUn
NW_001870457.1	chrUn
NW_001870458.1	chrUn
NW_001870459.1	chrUn
NW_001870461.1	chrUn
NW_001870462.1	chrUn
NW_001870463.1	chrUn
NW_001870464.1	chrUn
NW_001870465.1	chrUn
NW_001870466.1	chrUn
NW_001870467.1	chrUn
NW_001870468.1	chrUn
NW_001870469.1	chrUn
NW_001870470.1	chrUn
NW_001870472.1	chrUn
NW_001870473.1	chrUn
NW_001870474.1	chrUn
NW_001870475.1	chrUn
NW_001870476.1	chrUn
NW_001870477.1	chrUn
NW_001870478.1	chrUn
NW_001870479.1	chrUn
NW_001870480.1	chrUn
NW_001870481.1	chrUn
NW_001870483.1	chrUn
NW_001870485.1	chrUn
NW_001870486.1	chrUn
NW_001870487.1	chrUn
NW_001870488.1	chrUn
NW_001870489.1	chrUn
NW_001870490.1	chrUn
NW_001870492.1	chrUn
NW_001870494.1	chrUn
NW_001870495.1	chrUn
NW_001870496.1	chrUn
NW_001870497.1	chrUn
NW_001870498.1	chrUn
NW_001870499.1	chrUn
NW_001870500.1	chrUn
NW_001870501.1	chrUn
NW_001870502.1	chrUn
NW_001870503.1	chrUn
NW_001870505.1	chrUn
NW_001870506.1	chrUn
NW_001870507.1	chrUn
NW_001870508.1	chrUn
NW_001870509.1	chrUn
NW_001870510.1	chrUn
NW_001870511.1	chrUn
NW_001870512.1	chrUn
NW_001870513.1	chrUn
NW_001870514.1	chrUn
NW_001870517.1	chrUn
NW_001870518.1	chrUn
NW_001870519.1	chrUn
NW_001870520.1	chrUn
NW_001870521.1	chrUn
NW_001870523.1	chrUn
NW_001870524.1	chrUn
NW_001870525.1	chrUn
NW_001870527.1	chrUn
NW_001870528.1	chrUn
NW_001870529.1	chrUn
NW_001870530.1	chrUn
NW_001870532.1	chrUn
NW_001870533.1	chrUn
NW_001870534.1	chrUn
NW_001870535.1	chrUn
NW_001870536.1	chrUn
NW_001870538.1	chrUn
NW_001870539.1	chrUn
NW_001870540.1	chrUn
NW_001870543.1	chrUn
NW_001870544.1	chrUn
NW_001870545.1	chrUn
NW_001870546.1	chrUn
NW_001870547.1	chrUn
NW_001870550.1	chrUn
NW_001870552.1	chrUn
NW_001870553.1	chrUn
NW_001870554.1	chrUn
NW_001870556.1	chrUn
NW_001870557.1	chrUn
NW_001870558.1	chrUn
NW_001870560.1	chrUn
NW_001870562.1	chrUn
NW_001870563.1	chrUn
NW_001870564.1	chrUn
NW_001870565.1	chrUn
NW_001870566.1	chrUn
NW_001870567.1	chrUn
NW_001870568.1	chrUn
NW_001870569.1	chrUn
NW_001870571.1	chrUn
NW_001870572.1	chrUn
NW_001870573.1	chrUn
NW_001870575.1	chrUn
NW_001870576.1	chrUn
NW_001870577.1	chrUn
NW_001870578.1	chrUn
NW_001870579.1	chrUn
NW_001870580.1	chrUn
NW_001870582.1	chrUn
NW_001870583.1	chrUn
NW_001870584.1	chrUn
NW_001870585.1	chrUn
NW_001870586.1	chrUn
NW_001870587.1	chrUn
NW_001870588.1	chrUn
NW_001870589.1	chrUn
NW_001870590.1	chrUn
NW_001870591.1	chrUn
NW_001870593.1	chrUn
NW_001870594.1	chrUn
NW_001870595.1	chrUn
NW_001870596.1	chrUn
NW_001870597.1	chrUn
NW_001870598.1	chrUn
NW_001870600.1	chrUn
NW_001870601.1	chrUn
NW_001870602.1	chrUn
NW_001870604.1	chrUn
NW_001870605.1	chrUn
NW_001870606.1	chrUn
NW_001870608.1	chrUn
NW_001870609.1	chrUn
NW_001870611.1	chrUn
NW_001870612.1	chrUn
NW_001870613.1	chrUn
NW_001870615.1	chrUn
NW_001870616.1	chrUn
NW_001870617.1	chrUn
NW_001870618.1	chrUn
NW_001870620.1	chrUn
NW_001870621.1	chrUn
NW_001870622.1	chrUn
NW_001870623.1	chrUn
NW_001870624.1	chrUn
NW_001870627.1	chrUn
NW_001870628.1	chrUn
NW_001870629.1	chrUn
NW_001870630.1	chrUn
NW_001870631.1	chrUn
NW_001870632.1	chrUn
NW_001870633.1	chrUn
NW_001870634.1	chrUn
NW_001870635.1	chrUn
NW_001870637.1	chrUn
NW_001870639.1	chrUn
NW_001870640.1	chrUn
NW_001870642.1	chrUn
NW_001870644.1	chrUn
NW_001870645.1	chrUn
NW_001870646.1	chrUn
NW_001870648.1	chrUn
NW_001870649.1	chrUn
NW_001870650.1	chrUn
NW_001870651.1	chrUn
NW_001870652.1	chrUn
NW_001870653.1	chrUn
NW_001870654.1	chrUn
NW_001870655.1	chrUn
NW_001870656.1	chrUn
NW_001870657.1	chrUn
NW_001870660.1	chrUn
NW_001870661.1	chrUn
NW_001870662.1	chrUn
NW_001870663.1	chrUn
NW_001870664.1	chrUn
NW_001870665.1	chrUn
NW_001870666.1	chrUn
NW_001870667.1	chrUn
NW_001870668.1	chrUn
NW_001870670.1	chrUn
NW_001870671.1	chrUn
NW_001870672.1	chrUn
NW_001870673.1	chrUn
NW_001870674.1	chrUn
NW_001870675.1	chrUn
NW_001870676.1	chrUn
NW_001870677.1	chrUn
NW_001870679.1	chrUn
NW_001870681.1	chrUn
NW_001870682.1	chrUn
NW_001870683.1	chrUn
NW_001870684.1	chrUn
NW_001870685.1	chrUn
NW_001870686.1	chrUn
NW_001870687.1	chrUn
NW_001870688.1	chrUn
NW_001870689.1	chrUn
NW_001870692.1	chrUn
NW_001870693.1	chrUn
NW_001870694.1	chrUn
NW_001870695.1	chrUn
NW_001870696.1	chrUn
NW_001870697.1	chrUn
NW_001870698.1	chrUn
NW_001870700.1	chrUn
NW_001870701.1	chrUn
NW_001870703.1	chrUn
NW_001870704.1	chrUn
NW_001870705.1	chrUn
NW_001870706.1	chrUn
NW_001870707.1	chrUn
NW_001870708.1	chrUn
NW_001870709.1	chrUn
NW_001870710.1	chrUn
NW_001870711.1	chrUn
NW_001870712.1	chrUn
NW_001870714.1	chrUn
NW_001870716.1	chrUn
NW_001870717.1	chrUn
NW_001870718.1	chrUn
NW_001870720.1	chrUn
NW_001870722.1	chrUn
NW_001870723.1	chrUn
NW_001870725.1	chrUn
NW_001870726.1	chrUn
NW_001870727.1	chrUn
NW_001870728.1	chrUn
NW_001870729.1	chrUn
NW_001870730.1	chrUn
NW_001870731.1	chrUn
NW_001870732.1	chrUn
NW_001870733.1	chrUn
NW_001870736.1	chrUn
NW_001870737.1	chrUn
NW_001870738.1	chrUn
NW_001870739.1	chrUn
NW_001870740.1	chrUn
NW_001870741.1	chrUn
NW_001870742.1	chrUn
NW_001870743.1	chrUn
NW_001870745.1	chrUn
NW_001870747.1	chrUn
NW_001870749.1	chrUn
NW_001870750.1	chrUn
NW_001870751.1	chrUn
NW_001870752.1	chrUn
NW_001870753.1	chrUn
NW_001870754.1	chrUn
NW_001870755.1	chrUn
NW_001870756.1	chrUn
NW_001870758.1	chrUn
NW_001870759.1	chrUn
NW_001870760.1	chrUn
NW_001870762.1	chrUn
NW_001870763.1	chrUn
NW_001870764.1	chrUn
NW_001870765.1	chrUn
NW_001870766.1	chrUn
NW_001870767.1	chrUn
NW_001870769.1	chrUn
NW_001870770.1	chrUn
NW_001870771.1	chrUn
NW_001870772.1	chrUn
NW_001870773.1	chrUn
NW_001870776.1	chrUn
NW_001870777.1	chrUn
NW_001870778.1	chrUn
NW_001870780.1	chrUn
NW_001870784.1	chrUn
NW_001870785.1	chrUn
NW_001870786.1	chrUn
NW_001870787.1	chrUn
NW_001870788.1	chrUn
NW_001870791.1	chrUn
NW_001870793.1	chrUn
NW_001870794.1	chrUn
NW_001870795.1	chrUn
NW_001870796.1	chrUn
NW_001870797.1	chrUn
NW_001870798.1	chrUn
NW_001870799.1	chrUn
NW_001870800.1	chrUn
NW_001870802.1	chrUn
NW_001870803.1	chrUn
NW_001870804.1	chrUn
NW_001870805.1	chrUn
NW_001870806.1	chrUn
NW_001870807.1	chrUn
NW_001870808.1	chrUn
NW_001870809.1	chrUn
NW_001870810.1	chrUn
NW_001870811.1	chrUn
NW_001870813.1	chrUn
NW_001870815.1	chrUn
NW_001870816.1	chrUn
NW_001870818.1	chrUn
NW_001870819.1	chrUn
NW_001870820.1	chrUn
NW_001870821.1	chrUn
NW_001870822.1	chrUn
NW_001870825.1	chrUn
NW_001870826.1	chrUn
NW_001870827.1	chrUn
NW_001870828.1	chrUn
NW_001870829.1	chrUn
NW_001870830.1	chrUn
NW_001870831.1	chrUn
NW_001870832.1	chrUn
NW_001870833.1	chrUn
NW_001870835.1	chrUn
NW_001870836.1	chrUn
NW_001870837.1	chrUn
NW_001870838.1	chrUn
NW_001870839.1	chrUn
NW_001870840.1	chrUn
NW_001870841.1	chrUn
NW_001870843.1	chrUn
NW_001870844.1	chrUn
NW_001870846.1	chrUn
NW_001870847.1	chrUn
NW_001870848.1	chrUn
NW_001870849.1	chrUn
NW_001870850.1	chrUn
NW_001870852.1	chrUn
NW_001870853.1	chrUn
NW_001870854.1	chrUn
NW_001870855.1	chrUn
NW_001870857.1	chrUn
NW_001870858.1	chrUn
NW_001870859.1	chrUn
NW_001870860.1	chrUn
NW_001870861.1	chrUn
NW_001870862.1	chrUn
NW_001870863.1	chrUn
NW_001870864.1	chrUn
NW_001870865.1	chrUn
NW_001870866.1	chrUn
NW_001870869.1	chrUn
NW_001870870.1	chrUn
NW_001870871.1	chrUn
NW_001870872.1	chrUn
NW_001870873.1	chrUn
NW_001870874.1	chrUn
NW_001870876.1	chrUn
NW_001870877.1	chrUn
NW_001870879.1	chrUn
NW_001870880.1	chrUn
NW_001870881.1	chrUn
NW_001870882.1	chrUn
NW_001870883.1	chrUn
NW_001870884.1	chrUn
NW_001870885.1	chrUn
NW_001870887.1	chrUn
NW_001870888.1	chrUn
NW_001870890.1	chrUn
NW_001870891.1	chrUn
NW_001870892.1	chrUn
NW_001870893.1	chrUn
NW_001870894.1	chrUn
NW_001870895.1	chrUn
NW_001870896.1	chrUn
NW_001870898.1	chrUn
NW_001870902.1	chrUn
NW_001870903.1	chrUn
NW_001870904.1	chrUn
NW_001870905.1	chrUn
NW_001870906.1	chrUn
NW_001870907.1	chrUn
NW_001870909.1	chrUn
NW_001870910.1	chrUn
NW_001870912.1	chrUn
NW_001870913.1	chrUn
NW_001870914.1	chrUn
NW_001870915.1	chrUn
NW_001870916.1	chrUn
NW_001870917.1	chrUn
NW_001870918.1	chrUn
NW_001870919.1	chrUn
NW_001870920.1	chrUn
NW_001870921.1	chrUn
NW_001870923.1	chrUn
NW_001870924.1	chrUn
NW_001870925.1	chrUn
NW_001870926.1	chrUn
NW_001870927.1	chrUn
NW_001870928.1	chrUn
NW_001870929.1	chrUn
NW_001870931.1	chrUn
NW_001870932.1	chrUn
NW_001870934.1	chrUn
NW_001870935.1	chrUn
NW_001870937.1	chrUn
NW_001870938.1	chrUn
NW_001870939.1	chrUn
NW_001870940.1	chrUn
NW_001870941.1	chrUn
NW_001870942.1	chrUn
NW_001870943.1	chrUn
NW_001870945.1	chrUn
NW_001870946.1	chrUn
NW_001870948.1	chrUn
NW_001870949.1	chrUn
NW_001870950.1	chrUn
NW_001870951.1	chrUn
NW_001870952.1	chrUn
NW_001870953.1	chrUn
NW_001870954.1	chrUn
NW_001870956.1	chrUn
NW_001870957.1	chrUn
NW_001870958.1	chrUn
NW_001870959.1	chrUn
NW_001870960.1	chrUn
NW_001870961.1	chrUn
NW_001870962.1	chrUn
NW_001870963.1	chrUn
NW_001870964.1	chrUn
NW_001870965.1	chrUn
NW_001870969.1	chrUn
NW_001870970.1	chrUn
NW_001870971.1	chrUn
NW_001870972.1	chrUn
NW_001870975.1	chrUn
NW_001870976.1	chrUn
NW_001870978.1	chrUn
NW_001870979.1	chrUn
NW_001870980.1	chrUn
NW_001870981.1	chrUn
NW_001870982.1	chrUn
NW_001870984.1	chrUn
NW_001870985.1	chrUn
NW_001870986.1	chrUn
NW_001870987.1	chrUn
NW_001870991.1	chrUn
NW_001870992.1	chrUn
NW_001870993.1	chrUn
NW_001870994.1	chrUn
NW_001870995.1	chrUn
NW_001870996.1	chrUn
NW_001870998.1	chrUn
NW_001871000.1	chrUn
NW_001871001.1	chrUn
NW_001871002.1	chrUn
NW_001871003.1	chrUn
NW_001871004.1	chrUn
NW_001871005.1	chrUn
NW_001871006.1	chrUn
NW_001871007.1	chrUn
NW_001871008.1	chrUn
NW_001871009.1	chrUn
NW_001871011.1	chrUn
NW_001871013.1	chrUn
NW_001871014.1	chrUn
NW_001871017.1	chrUn
NW_001871018.1	chrUn
NW_001871019.1	chrUn
NW_001871020.1	chrUn
NW_001871022.1	chrUn
NW_001871023.1	chrUn
NW_001871025.1	chrUn
NW_001871026.1	chrUn
NW_001871027.1	chrUn
NW_001871029.1	chrUn
NW_001871030.1	chrUn
NW_001871031.1	chrUn
NW_001871033.1	chrUn
NW_001871034.1	chrUn
NW_001871035.1	chrUn
NW_001871037.1	chrUn
NW_001871038.1	chrUn
NW_001871039.1	chrUn
NW_001871040.1	chrUn
NW_001871041.1	chrUn
NW_001871042.1	chrUn
NW_001871044.1	chrUn
NW_001871045.1	chrUn
NW_001871046.1	chrUn
NW_001871047.1	chrUn
NW_001871048.1	chrUn
NW_001871049.1	chrUn
NW_001871050.1	chrUn
NW_001871051.1	chrUn
NW_001871052.1	chrUn
NW_001871053.1	chrUn
NW_001871055.1	chrUn
NW_001871056.1	chrUn
NW_001871057.1	chrUn
NW_001871058.1	chrUn
NW_001871059.1	chrUn
NW_001871061.1	chrUn
NW_001871062.1	chrUn
NW_001871064.1	chrUn
NW_001871066.1	chrUn
NW_001871067.1	chrUn
NW_001871068.1	chrUn
NW_001871069.1	chrUn
NW_001871070.1	chrUn
NW_001871071.1	chrUn
NW_001871072.1	chrUn
NW_001871073.1	chrUn
NW_001871075.1	chrUn
NW_001871077.1	chrUn
NW_001871078.1	chrUn
NW_001871079.1	chrUn
NW_001871080.1	chrUn
NW_001871081.1	chrUn
NW_001871082.1	chrUn
NW_001871083.1	chrUn
NW_001871084.1	chrUn
NW_001871086.1	chrUn
NW_001871088.1	chrUn
NW_001871089.1	chrUn
NW_001871090.1	chrUn
NW_001871092.1	chrUn
NW_001871093.1	chrUn
NW_001871094.1	chrUn
NW_001871095.1	chrUn
NW_001871096.1	chrUn
NW_001871097.1	chrUn
NW_001871099.1	chrUn
NW_001871100.1	chrUn
NW_001871102.1	chrUn
NW_001871103.1	chrUn
NW_001871104.1	chrUn
NW_001871105.1	chrUn
NW_001871106.1	chrUn
NW_001871107.1	chrUn
NW_001871108.1	chrUn
NW_001871110.1	chrUn
NW_001871111.1	chrUn
NW_001871112.1	chrUn
NW_001871113.1	chrUn
NW_001871114.1	chrUn
NW_001871116.1	chrUn
NW_001871119.1	chrUn
NW_001871121.1	chrUn
NW_001871122.1	chrUn
NW_001871123.1	chrUn
NW_001871124.1	chrUn
NW_001871125.1	chrUn
NW_001871127.1	chrUn
NW_001871128.1	chrUn
NW_001871130.1	chrUn
NW_001871132.1	chrUn
NW_001871133.1	chrUn
NW_001871134.1	chrUn
NW_001871135.1	chrUn
NW_001871136.1	chrUn
NW_001871137.1	chrUn
NW_001871138.1	chrUn
NW_001871139.1	chrUn
NW_001871140.1	chrUn
NW_001871141.1	chrUn
NW_001871143.1	chrUn
NW_001871144.1	chrUn
NW_001871145.1	chrUn
NW_001871146.1	chrUn
NW_001871147.1	chrUn
NW_001871148.1	chrUn
NW_001871149.1	chrUn
NW_001871150.1	chrUn
NW_001871151.1	chrUn
NW_001871154.1	chrUn
NW_001871155.1	chrUn
NW_001871158.1	chrUn
NW_001871159.1	chrUn
NW_001871160.1	chrUn
NW_001871161.1	chrUn
NW_001871162.1	chrUn
NW_001871163.1	chrUn
NW_001871165.1	chrUn
NW_001871166.1	chrUn
NW_001871167.1	chrUn
NW_001871168.1	chrUn
NW_001871169.1	chrUn
NW_001871171.1	chrUn
NW_001871172.1	chrUn
NW_001871173.1	chrUn
NW_001871174.1	chrUn
NW_001871176.1	chrUn
NW_001871177.1	chrUn
NW_001871179.1	chrUn
NW_001871180.1	chrUn
NW_001871181.1	chrUn
NW_001871182.1	chrUn
NW_001871184.1	chrUn
NW_001871185.1	chrUn
NW_001871187.1	chrUn
NW_001871188.1	chrUn
NW_001871189.1	chrUn
NW_001871190.1	chrUn
NW_001871191.1	chrUn
NW_001871192.1	chrUn
NW_001871193.1	chrUn
NW_001871194.1	chrUn
NW_001871195.1	chrUn
NW_001871196.1	chrUn
NW_001871198.1	chrUn
NW_001871199.1	chrUn
NW_001871200.1	chrUn
NW_001871201.1	chrUn
NW_001871202.1	chrUn
NW_001871204.1	chrUn
NW_001871205.1	chrUn
NW_001871206.1	chrUn
NW_001871207.1	chrUn
NW_001871209.1	chrUn
NW_001871210.1	chrUn
NW_001871211.1	chrUn
NW_001871212.1	chrUn
NW_001871213.1	chrUn
NW_001871214.1	chrUn
NW_001871215.1	chrUn
NW_001871216.1	chrUn
NW_001871217.1	chrUn
NW_001871218.1	chrUn
NW_001871220.1	chrUn
NW_001871221.1	chrUn
NW_001871223.1	chrUn
NW_001871224.1	chrUn
NW_001871225.1	chrUn
NW_001871226.1	chrUn
NW_001871227.1	chrUn
NW_001871228.1	chrUn
NW_001871229.1	chrUn
NW_001871231.1	chrUn
NW_001871232.1	chrUn
NW_001871233.1	chrUn
NW_001871234.1	chrUn
NW_001871235.1	chrUn
NW_001871236.1	chrUn
NW_001871237.1	chrUn
NW_001871238.1	chrUn
NW_001871239.1	chrUn
NW_001871242.1	chrUn
NW_001871243.1	chrUn
NW_001871244.1	chrUn
NW_001871245.1	chrUn
NW_001871246.1	chrUn
NW_001871247.1	chrUn
NW_001871248.1	chrUn
NW_001871249.1	chrUn
NW_001871250.1	chrUn
NW_001871251.1	chrUn
NW_001871253.1	chrUn
NW_001871254.1	chrUn
NW_001871255.1	chrUn
NW_001871257.1	chrUn
NW_001871258.1	chrUn
NW_001871259.1	chrUn
NW_001871260.1	chrUn
NW_001871261.1	chrUn
NW_001871262.1	chrUn
NW_001871264.1	chrUn
NW_001871265.1	chrUn
NW_001871266.1	chrUn
NW_001871268.1	chrUn
NW_001871269.1	chrUn
NW_001871271.1	chrUn
NW_001871272.1	chrUn
NW_001871273.1	chrUn
NW_001871275.1	chrUn
NW_001871276.1	chrUn
NW_001871277.1	chrUn
NW_001871279.1	chrUn
NW_001871280.1	chrUn
NW_001871281.1	chrUn
NW_001871283.1	chrUn
NW_001871284.1	chrUn
NW_001871286.1	chrUn
NW_001871287.1	chrUn
NW_001871288.1	chrUn
NW_001871289.1	chrUn
NW_001871290.1	chrUn
NW_001871291.1	chrUn
NW_001871292.1	chrUn
NW_001871293.1	chrUn
NW_001871294.1	chrUn
NW_001871295.1	chrUn
NW_001871297.1	chrUn
NW_001871298.1	chrUn
NW_001871299.1	chrUn
NW_001871300.1	chrUn
NW_001871301.1	chrUn
NW_001871302.1	chrUn
NW_001871303.1	chrUn
NW_001871306.1	chrUn
NW_001871308.1	chrUn
NW_001871309.1	chrUn
NW_001871310.1	chrUn
NW_001871311.1	chrUn
NW_001871312.1	chrUn
NW_001871313.1	chrUn
NW_001871314.1	chrUn
NW_001871315.1	chrUn
NW_001871316.1	chrUn
NW_001871317.1	chrUn
NW_001871319.1	chrUn
NW_001871320.1	chrUn
NW_001871321.1	chrUn
NW_001871322.1	chrUn
NW_001871323.1	chrUn
NW_001871324.1	chrUn
NW_001871325.1	chrUn
NW_001871326.1	chrUn
NW_001871327.1	chrUn
NW_001871328.1	chrUn
NW_001871330.1	chrUn
NW_001871331.1	chrUn
NW_001871332.1	chrUn
NW_001871333.1	chrUn
NW_001871334.1	chrUn
NW_001871335.1	chrUn
NW_001871336.1	chrUn
NW_001871338.1	chrUn
NW_001871339.1	chrUn
NW_001871341.1	chrUn
NW_001871342.1	chrUn
NW_001871343.1	chrUn
NW_001871344.1	chrUn
NW_001871345.1	chrUn
NW_001871346.1	chrUn
NW_001871347.1	chrUn
NW_001871348.1	chrUn
NW_001871349.1	chrUn
NW_001871350.1	chrUn
NW_001871352.1	chrUn
NW_001871353.1	chrUn
NW_001871354.1	chrUn
NW_001871355.1	chrUn
NW_001871356.1	chrUn
NW_001871357.1	chrUn
NW_001871359.1	chrUn
NW_001871360.1	chrUn
NW_001871361.1	chrUn
NW_001871363.1	chrUn
NW_001871364.1	chrUn
NW_001871366.1	chrUn
NW_001871367.1	chrUn
NW_001871368.1	chrUn
NW_001871369.1	chrUn
NW_001871371.1	chrUn
NW_001871374.1	chrUn
NW_001871375.1	chrUn
NW_001871377.1	chrUn
NW_001871378.1	chrUn
NW_001871379.1	chrUn
NW_001871380.1	chrUn
NW_001871381.1	chrUn
NW_001871382.1	chrUn
NW_001871385.1	chrUn
NW_001871387.1	chrUn
NW_001871388.1	chrUn
NW_001871389.1	chrUn
NW_001871391.1	chrUn
NW_001871392.1	chrUn
NW_001871393.1	chrUn
NW_001871394.1	chrUn
NW_001871396.1	chrUn
NW_001871397.1	chrUn
NW_001871398.1	chrUn
NW_001871399.1	chrUn
NW_001871400.1	chrUn
NW_001871401.1	chrUn
NW_001871402.1	chrUn
NW_001871403.1	chrUn
NW_001871404.1	chrUn
NW_001871405.1	chrUn
NW_001871407.1	chrUn
NW_001871408.1	chrUn
NW_001871409.1	chrUn
NW_001871410.1	chrUn
NW_001871411.1	chrUn
NW_001871412.1	chrUn
NW_001871413.1	chrUn
NW_001871415.1	chrUn
NW_001871418.1	chrUn
NW_001871419.1	chrUn
NW_001871421.1	chrUn
NW_001871422.1	chrUn
NW_001871423.1	chrUn
NW_001871424.1	chrUn
NW_001871425.1	chrUn
NW_001871426.1	chrUn
NW_001871427.1	chrUn
NW_001871430.1	chrUn
NW_001871431.1	chrUn
NW_001871432.1	chrUn
NW_001871433.1	chrUn
NW_001871434.1	chrUn
NW_001871435.1	chrUn
NW_001871436.1	chrUn
NW_001871437.1	chrUn
NW_001871438.1	chrUn
NW_001871440.1	chrUn
NW_001871441.1	chrUn
NW_001871443.1	chrUn
NW_001871444.1	chrUn
NW_001871445.1	chrUn
NW_001871446.1	chrUn
NW_001871447.1	chrUn
NW_001871448.1	chrUn
NW_001871452.1	chrUn
NW_001871453.1	chrUn
NW_001871454.1	chrUn
NW_001871455.1	chrUn
NW_001871456.1	chrUn
NW_001871457.1	chrUn
NW_001871458.1	chrUn
NW_001871459.1	chrUn
NW_001871460.1	chrUn
NW_001871462.1	chrUn
NW_001871464.1	chrUn
NW_001871465.1	chrUn
NW_001871466.1	chrUn
NW_001871467.1	chrUn
NW_001871468.1	chrUn
NW_001871469.1	chrUn
NW_001871470.1	chrUn
NW_001871473.1	chrUn
NW_001871476.1	chrUn
NW_001871477.1	chrUn
NW_001871478.1	chrUn
NW_001871479.1	chrUn
NW_001871480.1	chrUn
NW_001871481.1	chrUn
NW_001871482.1	chrUn
NW_001871484.1	chrUn
NW_001871485.1	chrUn
NW_001871486.1	chrUn
NW_001871487.1	chrUn
NW_001871488.1	chrUn
NW_001871489.1	chrUn
NW_001871490.1	chrUn
NW_001871491.1	chrUn
NW_001871493.1	chrUn
NW_001871495.1	chrUn
NW_001871496.1	chrUn
NW_001871497.1	chrUn
NW_001871498.1	chrUn
NW_001871499.1	chrUn
NW_001871500.1	chrUn
NW_001871501.1	chrUn
NW_001871503.1	chrUn
NW_001871504.1	chrUn
NW_001871506.1	chrUn
NW_001871507.1	chrUn
NW_001871508.1	chrUn
NW_001871509.1	chrUn
NW_001871511.1	chrUn
NW_001871512.1	chrUn
NW_001871513.1	chrUn
NW_001871514.1	chrUn
NW_001871515.1	chrUn
NW_001871517.1	chrUn
NW_001871518.1	chrUn
NW_001871519.1	chrUn
NW_001871520.1	chrUn
NW_001871523.1	chrUn
NW_001871524.1	chrUn
NW_001871525.1	chrUn
NW_001871526.1	chrUn
NW_001871528.1	chrUn
NW_001871529.1	chrUn
NW_001871530.1	chrUn
NW_001871531.1	chrUn
NW_001871532.1	chrUn
NW_001871533.1	chrUn
NW_001871534.1	chrUn
NW_001871535.1	chrUn
NW_001871537.1	chrUn
NW_001871539.1	chrUn
NW_001871540.1	chrUn
NW_001871541.1	chrUn
